97,47,60,54,19,8,2,48,2,41
87,18,26,29,78,39,15,3,10,40
19,23,66,89,0,3,11,25,63,16
36,80,43,51,52,88,4,30,58,17
94,70,41,96,13,84,36,14,78,81
43,6,73,5,53,34,51,21,33,89
66,84,69,4,52,25,24,72,27,31
62,70,96,79,26,96,62,31,41,48
87,69,79,67,11,95,92,36,68,61
24,8,18,15,53,6,81,30,27,49
入れ替え:1番目（97）,2番目（47）
入れ替え:41番目（47）,42番目（26）
入れ替え:40番目（43）,41番目（26）
入れ替え:39番目（43）,40番目（26）
入れ替え:38番目（41）,39番目（26）
入れ替え:37番目（41）,38番目（26）
入れ替え:36番目（40）,37番目（26）
入れ替え:35番目（39）,36番目（26）
入れ替え:34番目（36）,35番目（26）
入れ替え:33番目（36）,34番目（26）
入れ替え:32番目（34）,33番目（26）
入れ替え:31番目（33）,32番目（26）
入れ替え:30番目（31）,31番目（26）
入れ替え:29番目（30）,30番目（26）
入れ替え:28番目（29）,29番目（26）
入れ替え:27番目（27）,28番目（26）
入れ替え:75番目（97）,76番目（96）
入れ替え:76番目（97）,77番目（62）
入れ替え:75番目（96）,76番目（62）
入れ替え:74番目（96）,75番目（62）
入れ替え:73番目（96）,74番目（62）
入れ替え:72番目（94）,73番目（62）
入れ替え:71番目（89）,72番目（62）
入れ替え:70番目（89）,71番目（62）
入れ替え:69番目（88）,70番目（62）
入れ替え:68番目（87）,69番目（62）
入れ替え:67番目（84）,68番目（62）
入れ替え:66番目（84）,67番目（62）
入れ替え:65番目（81）,66番目（62）
入れ替え:64番目（80）,65番目（62）
入れ替え:63番目（79）,64番目（62）
入れ替え:62番目（78）,63番目（62）
入れ替え:61番目（78）,62番目（62）
入れ替え:60番目（73）,61番目（62）
入れ替え:59番目（72）,60番目（62）
入れ替え:58番目（70）,59番目（62）
入れ替え:57番目（70）,58番目（62）
入れ替え:56番目（69）,57番目（62）
入れ替え:55番目（66）,56番目（62）
入れ替え:54番目（66）,55番目（62）
入れ替え:53番目（63）,54番目（62）
入れ替え:77番目（97）,78番目（31）
入れ替え:76番目（96）,77番目（31）
入れ替え:75番目（96）,76番目（31）
入れ替え:74番目（96）,75番目（31）
入れ替え:73番目（94）,74番目（31）
入れ替え:72番目（89）,73番目（31）
入れ替え:71番目（89）,72番目（31）
入れ替え:70番目（88）,71番目（31）
入れ替え:69番目（87）,70番目（31）
入れ替え:68番目（84）,69番目（31）
入れ替え:67番目（84）,68番目（31）
入れ替え:66番目（81）,67番目（31）
入れ替え:65番目（80）,66番目（31）
入れ替え:64番目（79）,65番目（31）
入れ替え:63番目（78）,64番目（31）
入れ替え:62番目（78）,63番目（31）
入れ替え:61番目（73）,62番目（31）
入れ替え:60番目（72）,61番目（31）
入れ替え:59番目（70）,60番目（31）
入れ替え:58番目（70）,59番目（31）
入れ替え:57番目（69）,58番目（31）
入れ替え:56番目（66）,57番目（31）
入れ替え:55番目（66）,56番目（31）
入れ替え:54番目（63）,55番目（31）
入れ替え:53番目（62）,54番目（31）
入れ替え:52番目（62）,53番目（31）
入れ替え:51番目（60）,52番目（31）
入れ替え:50番目（58）,51番目（31）
入れ替え:49番目（54）,50番目（31）
入れ替え:48番目（53）,49番目（31）
入れ替え:47番目（52）,48番目（31）
入れ替え:46番目（52）,47番目（31）
入れ替え:45番目（51）,46番目（31）
入れ替え:44番目（51）,45番目（31）
入れ替え:43番目（48）,44番目（31）
入れ替え:42番目（47）,43番目（31）
入れ替え:41番目（43）,42番目（31）
入れ替え:40番目（43）,41番目（31）
入れ替え:39番目（41）,40番目（31）
入れ替え:38番目（41）,39番目（31）
入れ替え:37番目（40）,38番目（31）
入れ替え:36番目（39）,37番目（31）
入れ替え:35番目（36）,36番目（31）
入れ替え:34番目（36）,35番目（31）
入れ替え:33番目（34）,34番目（31）
入れ替え:32番目（33）,33番目（31）
入れ替え:78番目（97）,79番目（41）
入れ替え:77番目（96）,78番目（41）
入れ替え:76番目（96）,77番目（41）
入れ替え:75番目（96）,76番目（41）
入れ替え:74番目（94）,75番目（41）
入れ替え:73番目（89）,74番目（41）
入れ替え:72番目（89）,73番目（41）
入れ替え:71番目（88）,72番目（41）
入れ替え:70番目（87）,71番目（41）
入れ替え:69番目（84）,70番目（41）
入れ替え:68番目（84）,69番目（41）
入れ替え:67番目（81）,68番目（41）
入れ替え:66番目（80）,67番目（41）
入れ替え:65番目（79）,66番目（41）
入れ替え:64番目（78）,65番目（41）
入れ替え:63番目（78）,64番目（41）
入れ替え:62番目（73）,63番目（41）
入れ替え:61番目（72）,62番目（41）
入れ替え:60番目（70）,61番目（41）
入れ替え:59番目（70）,60番目（41）
入れ替え:58番目（69）,59番目（41）
入れ替え:57番目（66）,58番目（41）
入れ替え:56番目（66）,57番目（41）
入れ替え:55番目（63）,56番目（41）
入れ替え:54番目（62）,55番目（41）
入れ替え:53番目（62）,54番目（41）
入れ替え:52番目（60）,53番目（41）
入れ替え:51番目（58）,52番目（41）
入れ替え:50番目（54）,51番目（41）
入れ替え:49番目（53）,50番目（41）
入れ替え:48番目（52）,49番目（41）
入れ替え:47番目（52）,48番目（41）
入れ替え:46番目（51）,47番目（41）
入れ替え:45番目（51）,46番目（41）
入れ替え:44番目（48）,45番目（41）
入れ替え:43番目（47）,44番目（41）
入れ替え:42番目（43）,43番目（41）
入れ替え:41番目（43）,42番目（41）
入れ替え:79番目（97）,80番目（48）
入れ替え:78番目（96）,79番目（48）
入れ替え:77番目（96）,78番目（48）
入れ替え:76番目（96）,77番目（48）
入れ替え:75番目（94）,76番目（48）
入れ替え:74番目（89）,75番目（48）
入れ替え:73番目（89）,74番目（48）
入れ替え:72番目（88）,73番目（48）
入れ替え:71番目（87）,72番目（48）
入れ替え:70番目（84）,71番目（48）
入れ替え:69番目（84）,70番目（48）
入れ替え:68番目（81）,69番目（48）
入れ替え:67番目（80）,68番目（48）
入れ替え:66番目（79）,67番目（48）
入れ替え:65番目（78）,66番目（48）
入れ替え:64番目（78）,65番目（48）
入れ替え:63番目（73）,64番目（48）
入れ替え:62番目（72）,63番目（48）
入れ替え:61番目（70）,62番目（48）
入れ替え:60番目（70）,61番目（48）
入れ替え:59番目（69）,60番目（48）
入れ替え:58番目（66）,59番目（48）
入れ替え:57番目（66）,58番目（48）
入れ替え:56番目（63）,57番目（48）
入れ替え:55番目（62）,56番目（48）
入れ替え:54番目（62）,55番目（48）
入れ替え:53番目（60）,54番目（48）
入れ替え:52番目（58）,53番目（48）
入れ替え:51番目（54）,52番目（48）
入れ替え:50番目（53）,51番目（48）
入れ替え:49番目（52）,50番目（48）
入れ替え:48番目（52）,49番目（48）
入れ替え:47番目（51）,48番目（48）
入れ替え:46番目（51）,47番目（48）
入れ替え:80番目（97）,81番目（87）
入れ替え:79番目（96）,80番目（87）
入れ替え:78番目（96）,79番目（87）
入れ替え:77番目（96）,78番目（87）
入れ替え:76番目（94）,77番目（87）
入れ替え:75番目（89）,76番目（87）
入れ替え:74番目（89）,75番目（87）
入れ替え:73番目（88）,74番目（87）
入れ替え:81番目（97）,82番目（69）
入れ替え:80番目（96）,81番目（69）
入れ替え:79番目（96）,80番目（69）
入れ替え:78番目（96）,79番目（69）
入れ替え:77番目（94）,78番目（69）
入れ替え:76番目（89）,77番目（69）
入れ替え:75番目（89）,76番目（69）
入れ替え:74番目（88）,75番目（69）
入れ替え:73番目（87）,74番目（69）
入れ替え:72番目（87）,73番目（69）
入れ替え:71番目（84）,72番目（69）
入れ替え:70番目（84）,71番目（69）
入れ替え:69番目（81）,70番目（69）
入れ替え:68番目（80）,69番目（69）
入れ替え:67番目（79）,68番目（69）
入れ替え:66番目（78）,67番目（69）
入れ替え:65番目（78）,66番目（69）
入れ替え:64番目（73）,65番目（69）
入れ替え:63番目（72）,64番目（69）
入れ替え:62番目（70）,63番目（69）
入れ替え:61番目（70）,62番目（69）
入れ替え:82番目（97）,83番目（79）
入れ替え:81番目（96）,82番目（79）
入れ替え:80番目（96）,81番目（79）
入れ替え:79番目（96）,80番目（79）
入れ替え:78番目（94）,79番目（79）
入れ替え:77番目（89）,78番目（79）
入れ替え:76番目（89）,77番目（79）
入れ替え:75番目（88）,76番目（79）
入れ替え:74番目（87）,75番目（79）
入れ替え:73番目（87）,74番目（79）
入れ替え:72番目（84）,73番目（79）
入れ替え:71番目（84）,72番目（79）
入れ替え:70番目（81）,71番目（79）
入れ替え:69番目（80）,70番目（79）
入れ替え:83番目（97）,84番目（67）
入れ替え:82番目（96）,83番目（67）
入れ替え:81番目（96）,82番目（67）
入れ替え:80番目（96）,81番目（67）
入れ替え:79番目（94）,80番目（67）
入れ替え:78番目（89）,79番目（67）
入れ替え:77番目（89）,78番目（67）
入れ替え:76番目（88）,77番目（67）
入れ替え:75番目（87）,76番目（67）
入れ替え:74番目（87）,75番目（67）
入れ替え:73番目（84）,74番目（67）
入れ替え:72番目（84）,73番目（67）
入れ替え:71番目（81）,72番目（67）
入れ替え:70番目（80）,71番目（67）
入れ替え:69番目（79）,70番目（67）
入れ替え:68番目（79）,69番目（67）
入れ替え:67番目（78）,68番目（67）
入れ替え:66番目（78）,67番目（67）
入れ替え:65番目（73）,66番目（67）
入れ替え:64番目（72）,65番目（67）
入れ替え:63番目（70）,64番目（67）
入れ替え:62番目（70）,63番目（67）
入れ替え:61番目（69）,62番目（67）
入れ替え:60番目（69）,61番目（67）
入れ替え:84番目（97）,85番目（11）
入れ替え:83番目（96）,84番目（11）
入れ替え:82番目（96）,83番目（11）
入れ替え:81番目（96）,82番目（11）
入れ替え:80番目（94）,81番目（11）
入れ替え:79番目（89）,80番目（11）
入れ替え:78番目（89）,79番目（11）
入れ替え:77番目（88）,78番目（11）
入れ替え:76番目（87）,77番目（11）
入れ替え:75番目（87）,76番目（11）
入れ替え:74番目（84）,75番目（11）
入れ替え:73番目（84）,74番目（11）
入れ替え:72番目（81）,73番目（11）
入れ替え:71番目（80）,72番目（11）
入れ替え:70番目（79）,71番目（11）
入れ替え:69番目（79）,70番目（11）
入れ替え:68番目（78）,69番目（11）
入れ替え:67番目（78）,68番目（11）
入れ替え:66番目（73）,67番目（11）
入れ替え:65番目（72）,66番目（11）
入れ替え:64番目（70）,65番目（11）
入れ替え:63番目（70）,64番目（11）
入れ替え:62番目（69）,63番目（11）
入れ替え:61番目（69）,62番目（11）
入れ替え:60番目（67）,61番目（11）
入れ替え:59番目（66）,60番目（11）
入れ替え:58番目（66）,59番目（11）
入れ替え:57番目（63）,58番目（11）
入れ替え:56番目（62）,57番目（11）
入れ替え:55番目（62）,56番目（11）
入れ替え:54番目（60）,55番目（11）
入れ替え:53番目（58）,54番目（11）
入れ替え:52番目（54）,53番目（11）
入れ替え:51番目（53）,52番目（11）
入れ替え:50番目（52）,51番目（11）
入れ替え:49番目（52）,50番目（11）
入れ替え:48番目（51）,49番目（11）
入れ替え:47番目（51）,48番目（11）
入れ替え:46番目（48）,47番目（11）
入れ替え:45番目（48）,46番目（11）
入れ替え:44番目（47）,45番目（11）
入れ替え:43番目（43）,44番目（11）
入れ替え:42番目（43）,43番目（11）
入れ替え:41番目（41）,42番目（11）
入れ替え:40番目（41）,41番目（11）
入れ替え:39番目（41）,40番目（11）
入れ替え:38番目（40）,39番目（11）
入れ替え:37番目（39）,38番目（11）
入れ替え:36番目（36）,37番目（11）
入れ替え:35番目（36）,36番目（11）
入れ替え:34番目（34）,35番目（11）
入れ替え:33番目（33）,34番目（11）
入れ替え:32番目（31）,33番目（11）
入れ替え:31番目（31）,32番目（11）
入れ替え:30番目（30）,31番目（11）
入れ替え:29番目（29）,30番目（11）
入れ替え:28番目（27）,29番目（11）
入れ替え:27番目（26）,28番目（11）
入れ替え:26番目（26）,27番目（11）
入れ替え:25番目（25）,26番目（11）
入れ替え:24番目（25）,25番目（11）
入れ替え:23番目（24）,24番目（11）
入れ替え:22番目（23）,23番目（11）
入れ替え:21番目（21）,22番目（11）
入れ替え:20番目（19）,21番目（11）
入れ替え:19番目（19）,20番目（11）
入れ替え:18番目（18）,19番目（11）
入れ替え:17番目（17）,18番目（11）
入れ替え:16番目（16）,17番目（11）
入れ替え:15番目（15）,16番目（11）
入れ替え:14番目（14）,15番目（11）
入れ替え:13番目（13）,14番目（11）
入れ替え:85番目（97）,86番目（95）
入れ替え:84番目（96）,85番目（95）
入れ替え:83番目（96）,84番目（95）
入れ替え:82番目（96）,83番目（95）
入れ替え:86番目（97）,87番目（92）
入れ替え:85番目（96）,86番目（92）
入れ替え:84番目（96）,85番目（92）
入れ替え:83番目（96）,84番目（92）
入れ替え:82番目（95）,83番目（92）
入れ替え:81番目（94）,82番目（92）
入れ替え:87番目（97）,88番目（36）
入れ替え:86番目（96）,87番目（36）
入れ替え:85番目（96）,86番目（36）
入れ替え:84番目（96）,85番目（36）
入れ替え:83番目（95）,84番目（36）
入れ替え:82番目（94）,83番目（36）
入れ替え:81番目（92）,82番目（36）
入れ替え:80番目（89）,81番目（36）
入れ替え:79番目（89）,80番目（36）
入れ替え:78番目（88）,79番目（36）
入れ替え:77番目（87）,78番目（36）
入れ替え:76番目（87）,77番目（36）
入れ替え:75番目（84）,76番目（36）
入れ替え:74番目（84）,75番目（36）
入れ替え:73番目（81）,74番目（36）
入れ替え:72番目（80）,73番目（36）
入れ替え:71番目（79）,72番目（36）
入れ替え:70番目（79）,71番目（36）
入れ替え:69番目（78）,70番目（36）
入れ替え:68番目（78）,69番目（36）
入れ替え:67番目（73）,68番目（36）
入れ替え:66番目（72）,67番目（36）
入れ替え:65番目（70）,66番目（36）
入れ替え:64番目（70）,65番目（36）
入れ替え:63番目（69）,64番目（36）
入れ替え:62番目（69）,63番目（36）
入れ替え:61番目（67）,62番目（36）
入れ替え:60番目（66）,61番目（36）
入れ替え:59番目（66）,60番目（36）
入れ替え:58番目（63）,59番目（36）
入れ替え:57番目（62）,58番目（36）
入れ替え:56番目（62）,57番目（36）
入れ替え:55番目（60）,56番目（36）
入れ替え:54番目（58）,55番目（36）
入れ替え:53番目（54）,54番目（36）
入れ替え:52番目（53）,53番目（36）
入れ替え:51番目（52）,52番目（36）
入れ替え:50番目（52）,51番目（36）
入れ替え:49番目（51）,50番目（36）
入れ替え:48番目（51）,49番目（36）
入れ替え:47番目（48）,48番目（36）
入れ替え:46番目（48）,47番目（36）
入れ替え:45番目（47）,46番目（36）
入れ替え:44番目（43）,45番目（36）
入れ替え:43番目（43）,44番目（36）
入れ替え:42番目（41）,43番目（36）
入れ替え:41番目（41）,42番目（36）
入れ替え:40番目（41）,41番目（36）
入れ替え:39番目（40）,40番目（36）
入れ替え:38番目（39）,39番目（36）
入れ替え:88番目（97）,89番目（68）
入れ替え:87番目（96）,88番目（68）
入れ替え:86番目（96）,87番目（68）
入れ替え:85番目（96）,86番目（68）
入れ替え:84番目（95）,85番目（68）
入れ替え:83番目（94）,84番目（68）
入れ替え:82番目（92）,83番目（68）
入れ替え:81番目（89）,82番目（68）
入れ替え:80番目（89）,81番目（68）
入れ替え:79番目（88）,80番目（68）
入れ替え:78番目（87）,79番目（68）
入れ替え:77番目（87）,78番目（68）
入れ替え:76番目（84）,77番目（68）
入れ替え:75番目（84）,76番目（68）
入れ替え:74番目（81）,75番目（68）
入れ替え:73番目（80）,74番目（68）
入れ替え:72番目（79）,73番目（68）
入れ替え:71番目（79）,72番目（68）
入れ替え:70番目（78）,71番目（68）
入れ替え:69番目（78）,70番目（68）
入れ替え:68番目（73）,69番目（68）
入れ替え:67番目（72）,68番目（68）
入れ替え:66番目（70）,67番目（68）
入れ替え:65番目（70）,66番目（68）
入れ替え:64番目（69）,65番目（68）
入れ替え:63番目（69）,64番目（68）
入れ替え:89番目（97）,90番目（61）
入れ替え:88番目（96）,89番目（61）
入れ替え:87番目（96）,88番目（61）
入れ替え:86番目（96）,87番目（61）
入れ替え:85番目（95）,86番目（61）
入れ替え:84番目（94）,85番目（61）
入れ替え:83番目（92）,84番目（61）
入れ替え:82番目（89）,83番目（61）
入れ替え:81番目（89）,82番目（61）
入れ替え:80番目（88）,81番目（61）
入れ替え:79番目（87）,80番目（61）
入れ替え:78番目（87）,79番目（61）
入れ替え:77番目（84）,78番目（61）
入れ替え:76番目（84）,77番目（61）
入れ替え:75番目（81）,76番目（61）
入れ替え:74番目（80）,75番目（61）
入れ替え:73番目（79）,74番目（61）
入れ替え:72番目（79）,73番目（61）
入れ替え:71番目（78）,72番目（61）
入れ替え:70番目（78）,71番目（61）
入れ替え:69番目（73）,70番目（61）
入れ替え:68番目（72）,69番目（61）
入れ替え:67番目（70）,68番目（61）
入れ替え:66番目（70）,67番目（61）
入れ替え:65番目（69）,66番目（61）
入れ替え:64番目（69）,65番目（61）
入れ替え:63番目（68）,64番目（61）
入れ替え:62番目（67）,63番目（61）
入れ替え:61番目（66）,62番目（61）
入れ替え:60番目（66）,61番目（61）
入れ替え:59番目（63）,60番目（61）
入れ替え:58番目（62）,59番目（61）
入れ替え:57番目（62）,58番目（61）
入れ替え:90番目（97）,91番目（24）
入れ替え:89番目（96）,90番目（24）
入れ替え:88番目（96）,89番目（24）
入れ替え:87番目（96）,88番目（24）
入れ替え:86番目（95）,87番目（24）
入れ替え:85番目（94）,86番目（24）
入れ替え:84番目（92）,85番目（24）
入れ替え:83番目（89）,84番目（24）
入れ替え:82番目（89）,83番目（24）
入れ替え:81番目（88）,82番目（24）
入れ替え:80番目（87）,81番目（24）
入れ替え:79番目（87）,80番目（24）
入れ替え:78番目（84）,79番目（24）
入れ替え:77番目（84）,78番目（24）
入れ替え:76番目（81）,77番目（24）
入れ替え:75番目（80）,76番目（24）
入れ替え:74番目（79）,75番目（24）
入れ替え:73番目（79）,74番目（24）
入れ替え:72番目（78）,73番目（24）
入れ替え:71番目（78）,72番目（24）
入れ替え:70番目（73）,71番目（24）
入れ替え:69番目（72）,70番目（24）
入れ替え:68番目（70）,69番目（24）
入れ替え:67番目（70）,68番目（24）
入れ替え:66番目（69）,67番目（24）
入れ替え:65番目（69）,66番目（24）
入れ替え:64番目（68）,65番目（24）
入れ替え:63番目（67）,64番目（24）
入れ替え:62番目（66）,63番目（24）
入れ替え:61番目（66）,62番目（24）
入れ替え:60番目（63）,61番目（24）
入れ替え:59番目（62）,60番目（24）
入れ替え:58番目（62）,59番目（24）
入れ替え:57番目（61）,58番目（24）
入れ替え:56番目（60）,57番目（24）
入れ替え:55番目（58）,56番目（24）
入れ替え:54番目（54）,55番目（24）
入れ替え:53番目（53）,54番目（24）
入れ替え:52番目（52）,53番目（24）
入れ替え:51番目（52）,52番目（24）
入れ替え:50番目（51）,51番目（24）
入れ替え:49番目（51）,50番目（24）
入れ替え:48番目（48）,49番目（24）
入れ替え:47番目（48）,48番目（24）
入れ替え:46番目（47）,47番目（24）
入れ替え:45番目（43）,46番目（24）
入れ替え:44番目（43）,45番目（24）
入れ替え:43番目（41）,44番目（24）
入れ替え:42番目（41）,43番目（24）
入れ替え:41番目（41）,42番目（24）
入れ替え:40番目（40）,41番目（24）
入れ替え:39番目（39）,40番目（24）
入れ替え:38番目（36）,39番目（24）
入れ替え:37番目（36）,38番目（24）
入れ替え:36番目（36）,37番目（24）
入れ替え:35番目（34）,36番目（24）
入れ替え:34番目（33）,35番目（24）
入れ替え:33番目（31）,34番目（24）
入れ替え:32番目（31）,33番目（24）
入れ替え:31番目（30）,32番目（24）
入れ替え:30番目（29）,31番目（24）
入れ替え:29番目（27）,30番目（24）
入れ替え:28番目（26）,29番目（24）
入れ替え:27番目（26）,28番目（24）
入れ替え:26番目（25）,27番目（24）
入れ替え:25番目（25）,26番目（24）
入れ替え:91番目（97）,92番目（8）
入れ替え:90番目（96）,91番目（8）
入れ替え:89番目（96）,90番目（8）
入れ替え:88番目（96）,89番目（8）
入れ替え:87番目（95）,88番目（8）
入れ替え:86番目（94）,87番目（8）
入れ替え:85番目（92）,86番目（8）
入れ替え:84番目（89）,85番目（8）
入れ替え:83番目（89）,84番目（8）
入れ替え:82番目（88）,83番目（8）
入れ替え:81番目（87）,82番目（8）
入れ替え:80番目（87）,81番目（8）
入れ替え:79番目（84）,80番目（8）
入れ替え:78番目（84）,79番目（8）
入れ替え:77番目（81）,78番目（8）
入れ替え:76番目（80）,77番目（8）
入れ替え:75番目（79）,76番目（8）
入れ替え:74番目（79）,75番目（8）
入れ替え:73番目（78）,74番目（8）
入れ替え:72番目（78）,73番目（8）
入れ替え:71番目（73）,72番目（8）
入れ替え:70番目（72）,71番目（8）
入れ替え:69番目（70）,70番目（8）
入れ替え:68番目（70）,69番目（8）
入れ替え:67番目（69）,68番目（8）
入れ替え:66番目（69）,67番目（8）
入れ替え:65番目（68）,66番目（8）
入れ替え:64番目（67）,65番目（8）
入れ替え:63番目（66）,64番目（8）
入れ替え:62番目（66）,63番目（8）
入れ替え:61番目（63）,62番目（8）
入れ替え:60番目（62）,61番目（8）
入れ替え:59番目（62）,60番目（8）
入れ替え:58番目（61）,59番目（8）
入れ替え:57番目（60）,58番目（8）
入れ替え:56番目（58）,57番目（8）
入れ替え:55番目（54）,56番目（8）
入れ替え:54番目（53）,55番目（8）
入れ替え:53番目（52）,54番目（8）
入れ替え:52番目（52）,53番目（8）
入れ替え:51番目（51）,52番目（8）
入れ替え:50番目（51）,51番目（8）
入れ替え:49番目（48）,50番目（8）
入れ替え:48番目（48）,49番目（8）
入れ替え:47番目（47）,48番目（8）
入れ替え:46番目（43）,47番目（8）
入れ替え:45番目（43）,46番目（8）
入れ替え:44番目（41）,45番目（8）
入れ替え:43番目（41）,44番目（8）
入れ替え:42番目（41）,43番目（8）
入れ替え:41番目（40）,42番目（8）
入れ替え:40番目（39）,41番目（8）
入れ替え:39番目（36）,40番目（8）
入れ替え:38番目（36）,39番目（8）
入れ替え:37番目（36）,38番目（8）
入れ替え:36番目（34）,37番目（8）
入れ替え:35番目（33）,36番目（8）
入れ替え:34番目（31）,35番目（8）
入れ替え:33番目（31）,34番目（8）
入れ替え:32番目（30）,33番目（8）
入れ替え:31番目（29）,32番目（8）
入れ替え:30番目（27）,31番目（8）
入れ替え:29番目（26）,30番目（8）
入れ替え:28番目（26）,29番目（8）
入れ替え:27番目（25）,28番目（8）
入れ替え:26番目（25）,27番目（8）
入れ替え:25番目（24）,26番目（8）
入れ替え:24番目（24）,25番目（8）
入れ替え:23番目（23）,24番目（8）
入れ替え:22番目（21）,23番目（8）
入れ替え:21番目（19）,22番目（8）
入れ替え:20番目（19）,21番目（8）
入れ替え:19番目（18）,20番目（8）
入れ替え:18番目（17）,19番目（8）
入れ替え:17番目（16）,18番目（8）
入れ替え:16番目（15）,17番目（8）
入れ替え:15番目（14）,16番目（8）
入れ替え:14番目（13）,15番目（8）
入れ替え:13番目（11）,14番目（8）
入れ替え:12番目（11）,13番目（8）
入れ替え:11番目（10）,12番目（8）
入れ替え:92番目（97）,93番目（18）
入れ替え:91番目（96）,92番目（18）
入れ替え:90番目（96）,91番目（18）
入れ替え:89番目（96）,90番目（18）
入れ替え:88番目（95）,89番目（18）
入れ替え:87番目（94）,88番目（18）
入れ替え:86番目（92）,87番目（18）
入れ替え:85番目（89）,86番目（18）
入れ替え:84番目（89）,85番目（18）
入れ替え:83番目（88）,84番目（18）
入れ替え:82番目（87）,83番目（18）
入れ替え:81番目（87）,82番目（18）
入れ替え:80番目（84）,81番目（18）
入れ替え:79番目（84）,80番目（18）
入れ替え:78番目（81）,79番目（18）
入れ替え:77番目（80）,78番目（18）
入れ替え:76番目（79）,77番目（18）
入れ替え:75番目（79）,76番目（18）
入れ替え:74番目（78）,75番目（18）
入れ替え:73番目（78）,74番目（18）
入れ替え:72番目（73）,73番目（18）
入れ替え:71番目（72）,72番目（18）
入れ替え:70番目（70）,71番目（18）
入れ替え:69番目（70）,70番目（18）
入れ替え:68番目（69）,69番目（18）
入れ替え:67番目（69）,68番目（18）
入れ替え:66番目（68）,67番目（18）
入れ替え:65番目（67）,66番目（18）
入れ替え:64番目（66）,65番目（18）
入れ替え:63番目（66）,64番目（18）
入れ替え:62番目（63）,63番目（18）
入れ替え:61番目（62）,62番目（18）
入れ替え:60番目（62）,61番目（18）
入れ替え:59番目（61）,60番目（18）
入れ替え:58番目（60）,59番目（18）
入れ替え:57番目（58）,58番目（18）
入れ替え:56番目（54）,57番目（18）
入れ替え:55番目（53）,56番目（18）
入れ替え:54番目（52）,55番目（18）
入れ替え:53番目（52）,54番目（18）
入れ替え:52番目（51）,53番目（18）
入れ替え:51番目（51）,52番目（18）
入れ替え:50番目（48）,51番目（18）
入れ替え:49番目（48）,50番目（18）
入れ替え:48番目（47）,49番目（18）
入れ替え:47番目（43）,48番目（18）
入れ替え:46番目（43）,47番目（18）
入れ替え:45番目（41）,46番目（18）
入れ替え:44番目（41）,45番目（18）
入れ替え:43番目（41）,44番目（18）
入れ替え:42番目（40）,43番目（18）
入れ替え:41番目（39）,42番目（18）
入れ替え:40番目（36）,41番目（18）
入れ替え:39番目（36）,40番目（18）
入れ替え:38番目（36）,39番目（18）
入れ替え:37番目（34）,38番目（18）
入れ替え:36番目（33）,37番目（18）
入れ替え:35番目（31）,36番目（18）
入れ替え:34番目（31）,35番目（18）
入れ替え:33番目（30）,34番目（18）
入れ替え:32番目（29）,33番目（18）
入れ替え:31番目（27）,32番目（18）
入れ替え:30番目（26）,31番目（18）
入れ替え:29番目（26）,30番目（18）
入れ替え:28番目（25）,29番目（18）
入れ替え:27番目（25）,28番目（18）
入れ替え:26番目（24）,27番目（18）
入れ替え:25番目（24）,26番目（18）
入れ替え:24番目（23）,25番目（18）
入れ替え:23番目（21）,24番目（18）
入れ替え:22番目（19）,23番目（18）
入れ替え:21番目（19）,22番目（18）
入れ替え:93番目（97）,94番目（15）
入れ替え:92番目（96）,93番目（15）
入れ替え:91番目（96）,92番目（15）
入れ替え:90番目（96）,91番目（15）
入れ替え:89番目（95）,90番目（15）
入れ替え:88番目（94）,89番目（15）
入れ替え:87番目（92）,88番目（15）
入れ替え:86番目（89）,87番目（15）
入れ替え:85番目（89）,86番目（15）
入れ替え:84番目（88）,85番目（15）
入れ替え:83番目（87）,84番目（15）
入れ替え:82番目（87）,83番目（15）
入れ替え:81番目（84）,82番目（15）
入れ替え:80番目（84）,81番目（15）
入れ替え:79番目（81）,80番目（15）
入れ替え:78番目（80）,79番目（15）
入れ替え:77番目（79）,78番目（15）
入れ替え:76番目（79）,77番目（15）
入れ替え:75番目（78）,76番目（15）
入れ替え:74番目（78）,75番目（15）
入れ替え:73番目（73）,74番目（15）
入れ替え:72番目（72）,73番目（15）
入れ替え:71番目（70）,72番目（15）
入れ替え:70番目（70）,71番目（15）
入れ替え:69番目（69）,70番目（15）
入れ替え:68番目（69）,69番目（15）
入れ替え:67番目（68）,68番目（15）
入れ替え:66番目（67）,67番目（15）
入れ替え:65番目（66）,66番目（15）
入れ替え:64番目（66）,65番目（15）
入れ替え:63番目（63）,64番目（15）
入れ替え:62番目（62）,63番目（15）
入れ替え:61番目（62）,62番目（15）
入れ替え:60番目（61）,61番目（15）
入れ替え:59番目（60）,60番目（15）
入れ替え:58番目（58）,59番目（15）
入れ替え:57番目（54）,58番目（15）
入れ替え:56番目（53）,57番目（15）
入れ替え:55番目（52）,56番目（15）
入れ替え:54番目（52）,55番目（15）
入れ替え:53番目（51）,54番目（15）
入れ替え:52番目（51）,53番目（15）
入れ替え:51番目（48）,52番目（15）
入れ替え:50番目（48）,51番目（15）
入れ替え:49番目（47）,50番目（15）
入れ替え:48番目（43）,49番目（15）
入れ替え:47番目（43）,48番目（15）
入れ替え:46番目（41）,47番目（15）
入れ替え:45番目（41）,46番目（15）
入れ替え:44番目（41）,45番目（15）
入れ替え:43番目（40）,44番目（15）
入れ替え:42番目（39）,43番目（15）
入れ替え:41番目（36）,42番目（15）
入れ替え:40番目（36）,41番目（15）
